"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"MOUDLE16P-SMD-2.54-21X17.8MM";1;"XIAO","102010448";;;
2;"R4";"R0603";1;"267K","RK73H1JTTD2673F";;;
3;"C10,C11";"C0603";2;"3.6pF","CBR06C369B5GAC";;;
4;"C29,C6,C22,C12,C21,C26,C23,C24,C18,C30,C28";"C0603";11;"1uF",CC0603KRX5R7BB105";;;
5;"C9,C8";"C0603";2;"51pF","06031U510GAT2A";;;
6;"IC1";"SON50P150X200X100-8N-D";1;"TPS62840DLCR","TPS62840DLCR";;;
7;"CR2,CR1";"ZDO_30V_H3F_TOS";2;"CUHZ5V6_H3F","CUHZ5V6_H3F";;;
8;"R15";"R0603";1;"3R","3R";;;
9;"C14,C13";"C0805";2;"47uF","MSASL21GBB5476MTNA01";;;
10;"R16,R18,R17";"R0603";3;"22R","22R";;;
11;"C15";"C0805";1;"100pF","CC0805JRNPO9BN101";;;
12;"L3";"L_0603_1608Metric";1;"6.8nH","LRC0402CJ6N8GV001T";;;
13;"D9,D7,D8";"D_SOD-123";3;"MBR0530";;;
14;"R3,R13,R14,R5";"R0603";4;"100R","301010090";;;
15;"R7,R12,R9,R8,R1,R6,R2";"R0603";7;"10K","RC0603JR-0710KL";;;
16;"C1,C5,C2";"C0805";3;"10uF","EMK212BJ106KG-T";;;
17;"D5,D6,D1";"D_SOD-523";3;"NSR0520V2","NSR0520V2";;;
18;"Q3,Q4";"SOT-23";2;"FDN304P","FDN304P";;;
19;"C33,C25";"C0603";2;"4.7uF","CL10A475KP8NNNC";;;
20;"C17";"C0805";1;"22pF","0805CG220J500NT";;;
21;"C20";"C0603";1;"0.5pF","CBR06C508B5GAC";;;
22;"C7,C16";"C0805";2;"100nF","CC0805KRX7R9BB104";;;
23;"J3";"GCT_FFC2B28-24-G";1;"FFC2B28-24-G";;;
24;"L2";"L_0603_1608Metric";1;"1.5nH","LRC0603CS1N5GV001T";;;
25;"U18,U1,U3";"SOT-363_SC-70-6";3;"LM66100DCK";;;
26;"ANT1";"NCP5820";1;"NCP.5820","NCP.5820";;;
27;"L5";"IND_3102_PUL";1;"W3102";;;
28;"U12";"1042240820_MOL";1;"1042240820","1042240820";;;
29;"U11";"BC66_QWS";1;"BC660KGLAA-I03-SNASA","BC660KGLAA-I03-SNASA";;;
30;"L6";"IND_LSXN&slash_LSXP_4040TK_TAY";1;"10uH","LSXND4040TKL100MDG";;;
31;"L1";"L0806";1;"2.2uH","DFE201612E-2R2M=P2";;;
32;"D2";"SOT-23-5";1;"SP0504BAHTG","SP0504BAHTG";;;
33;"L4";"L_0603_1608Metric";1;"33nH","LRC0603CJ33NGV001T";;;
34;"Q8";"MOSFET_8EDL-T1-GE3_VIS";1;"SI1308EDL","SI1308EDL";;;
